INFO  - 2013-12-29 16:19:33.010; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2013-12-29 16:19:33.051; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/childbamboo1980/git/samples/solr/example/contexts at interval 0
INFO  - 2013-12-29 16:19:33.059; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/childbamboo1980/git/samples/solr/example/contexts/solr-jetty-context.xml
INFO  - 2013-12-29 16:19:33.146; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/childbamboo1980/git/samples/solr/example/webapps/solr.war!/ to /Users/childbamboo1980/git/samples/solr/example/solr-webapp/webapp
INFO  - 2013-12-29 16:19:36.493; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2013-12-29 16:19:36.574; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2013-12-29 16:19:36.598; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2013-12-29 16:19:36.599; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2013-12-29 16:19:36.600; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2013-12-29 16:19:36.763; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/childbamboo1980/git/samples/solr/example/solr/solr.xml
INFO  - 2013-12-29 16:19:37.000; org.apache.solr.core.ConfigSolrXml; Config-defined core root directory: 
INFO  - 2013-12-29 16:19:37.014; org.apache.solr.core.CoreContainer; New CoreContainer 2000169429
INFO  - 2013-12-29 16:19:37.014; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2013-12-29 16:19:37.033; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2013-12-29 16:19:37.034; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2013-12-29 16:19:37.035; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2013-12-29 16:19:37.039; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2013-12-29 16:19:37.039; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2013-12-29 16:19:37.040; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2013-12-29 16:19:37.040; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2013-12-29 16:19:37.041; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2013-12-29 16:19:37.041; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2013-12-29 16:19:37.399; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2013-12-29 16:19:37.400; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2013-12-29 16:19:37.451; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /Users/childbamboo1980/git/samples/solr/example/solr
INFO  - 2013-12-29 16:19:37.475; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /Users/childbamboo1980/git/samples/solr/example/solr/collection1/
INFO  - 2013-12-29 16:19:37.476; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2013-12-29 16:19:37.478; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: /Users/childbamboo1980/git/samples/solr/example/solr/collection1
INFO  - 2013-12-29 16:19:37.479; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/Users/childbamboo1980/git/samples/solr/example/solr/collection1/'
INFO  - 2013-12-29 16:19:37.603; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
WARN  - 2013-12-29 16:19:37.604; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/extraction/lib (resolved as: /Users/childbamboo1980/git/samples/solr/example/solr/collection1/../../../contrib/extraction/lib).
WARN  - 2013-12-29 16:19:37.606; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /Users/childbamboo1980/git/samples/solr/example/solr/collection1/../../../dist).
WARN  - 2013-12-29 16:19:37.606; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/clustering/lib/ (resolved as: /Users/childbamboo1980/git/samples/solr/example/solr/collection1/../../../contrib/clustering/lib).
WARN  - 2013-12-29 16:19:37.607; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /Users/childbamboo1980/git/samples/solr/example/solr/collection1/../../../dist).
WARN  - 2013-12-29 16:19:37.607; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/langid/lib/ (resolved as: /Users/childbamboo1980/git/samples/solr/example/solr/collection1/../../../contrib/langid/lib).
WARN  - 2013-12-29 16:19:37.608; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /Users/childbamboo1980/git/samples/solr/example/solr/collection1/../../../dist).
WARN  - 2013-12-29 16:19:37.608; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/velocity/lib (resolved as: /Users/childbamboo1980/git/samples/solr/example/solr/collection1/../../../contrib/velocity/lib).
WARN  - 2013-12-29 16:19:37.609; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /Users/childbamboo1980/git/samples/solr/example/solr/collection1/../../../dist).
INFO  - 2013-12-29 16:19:37.831; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2013-12-29 16:19:37.841; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_46
INFO  - 2013-12-29 16:19:38.076; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2013-12-29 16:19:38.084; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2013-12-29 16:19:38.250; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2013-12-29 16:19:39.084; org.apache.solr.schema.IndexSchema; unique key field: id
